Day,country,Daily hospital occupancy,Daily ICU occupancy
2020-03-31,Australia,426,82
2020-04-01,Australia,441,86
2020-04-02,Australia,415,92
2020-04-03,Australia,457,93
2020-04-04,Australia,490,95
2020-04-05,Australia,457,96
2020-04-06,Australia,305,93
2020-04-07,Australia,263,87
2020-04-08,Australia,262,81
2020-04-09,Australia,247,81
2020-04-10,Australia,240,80
2020-04-11,Australia,239,83
2020-04-12,Australia,227,79
2020-04-13,Australia,230,80
2020-04-14,Australia,214,73
2020-04-15,Australia,201,67
2020-04-16,Australia,192,60
2020-04-17,Australia,184,55
2020-04-18,Australia,177,48
2020-04-19,Australia,170,49
2020-04-20,Australia,167,47
2020-04-21,Australia,161,46
2020-04-22,Australia,152,45
2020-04-23,Australia,138,42
2020-04-24,Australia,129,43
2020-04-25,Australia,115,43
2020-04-26,Australia,113,43
2020-04-27,Australia,109,42
2020-04-28,Australia,93,38
2020-04-29,Australia,89,34
2020-04-30,Australia,83,28
2020-05-01,Australia,79,28
2020-05-02,Australia,75,28
2020-05-03,Australia,70,28
2020-05-04,Australia,66,27
2020-05-05,Australia,62,27
2020-05-06,Australia,58,23
2020-05-07,Australia,56,21
2020-05-08,Australia,51,19
2020-05-09,Australia,43,17
2020-05-10,Australia,49,16
2020-05-11,Australia,47,16
2020-05-12,Australia,50,17
2020-05-13,Australia,51,18
2020-05-14,Australia,46,17
2020-05-15,Australia,49,16
2020-05-16,Australia,50,16
2020-05-17,Australia,45,12
2020-05-18,Australia,47,11
2020-05-19,Australia,43,9
2020-05-20,Australia,41,9
2020-05-21,Australia,39,7
2020-05-22,Australia,35,5
2020-05-23,Australia,33,5
2020-05-24,Australia,31,5
2020-05-25,Australia,30,5
2020-05-26,Australia,30,6
2020-05-27,Australia,29,5
2020-05-28,Australia,23,4
2020-05-29,Australia,22,4
2020-05-30,Australia,20,4
2020-05-31,Australia,20,3
2020-06-01,Australia,26,4
2020-06-02,Australia,25,5
2020-06-03,Australia,22,4
2020-06-04,Australia,21,2
2020-06-05,Australia,21,4
2020-06-06,Australia,18,3
2020-06-07,Australia,19,3
2020-06-08,Australia,18,2
2020-06-09,Australia,20,3
2020-06-10,Australia,18,2
2020-06-11,Australia,17,2
2020-06-12,Australia,16,2
2020-06-13,Australia,16,3
2020-06-14,Australia,17,4
2020-06-15,Australia,17,3
2020-06-16,Australia,16,3
2020-06-17,Australia,14,2
2020-06-18,Australia,15,2
2020-06-19,Australia,17,3
2020-06-20,Australia,16,2
2020-06-21,Australia,18,2
2020-06-22,Australia,19,3
2020-06-23,Australia,16,2
2020-06-24,Australia,16,2
2020-06-25,Australia,12,1
2020-06-26,Australia,12,1
2020-06-27,Australia,11,1
2020-06-28,Australia,15,1
2020-06-29,Australia,14,1
2020-06-30,Australia,18,3
2020-07-01,Australia,24,5
2020-07-02,Australia,27,7
2020-07-03,Australia,29,4
2020-07-04,Australia,30,4
2020-07-05,Australia,34,6
2020-07-06,Australia,39,10
2020-07-07,Australia,46,8
2020-07-08,Australia,45,10
2020-07-09,Australia,54,13
2020-07-10,Australia,55,16
2020-07-11,Australia,67,17
2020-07-12,Australia,92,18
2020-07-13,Australia,90,27
2020-07-14,Australia,111,28
2020-07-15,Australia,114,30
2020-07-16,Australia,126,32
2020-07-17,Australia,115,26
2020-07-18,Australia,135,29
2020-07-19,Australia,156,33
2020-07-20,Australia,182,38
2020-07-21,Australia,214,42
2020-07-22,Australia,211,41
2020-07-23,Australia,217,44
2020-07-24,Australia,239,46
2020-07-25,Australia,241,46
2020-07-26,Australia,259,49
2020-07-27,Australia,275,47
2020-07-28,Australia,323,46
2020-07-29,Australia,330,40
2020-07-30,Australia,366,44
2020-07-31,Australia,401,50
2020-08-01,Australia,408,46
2020-08-02,Australia,439,43
2020-08-03,Australia,483,44
2020-08-04,Australia,566,51
2020-08-05,Australia,600,52
2020-08-06,Australia,632,51
2020-08-07,Australia,659,53
2020-08-08,Australia,658,51
2020-08-09,Australia,664,56
2020-08-10,Australia,673,51
2020-08-11,Australia,686,51
2020-08-12,Australia,686,44
2020-08-13,Australia,679,47
2020-08-14,Australia,681,48
2020-08-15,Australia,680,47
2020-08-16,Australia,674,51
2020-08-17,Australia,682,52
2020-08-18,Australia,694,52
2020-08-19,Australia,644,51
2020-08-20,Australia,647,47
2020-08-21,Australia,631,43
2020-08-22,Australia,604,39
2020-08-23,Australia,659,38
2020-08-24,Australia,644,42
2020-08-25,Australia,603,46
2020-08-26,Australia,558,35
2020-08-27,Australia,543,35
2020-08-28,Australia,510,32
2020-08-29,Australia,501,31
2020-08-30,Australia,481,27
2020-08-31,Australia,450,26
2020-09-01,Australia,432,23
2020-09-02,Australia,391,26
2020-09-03,Australia,357,27
2020-09-04,Australia,326,27
2020-09-05,Australia,310,26
2020-09-06,Australia,294,32
2020-09-07,Australia,263,29
2020-09-08,Australia,221,26
2020-09-09,Australia,195,23
2020-09-10,Australia,162,18
2020-09-11,Australia,151,15
